"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"40f3471a667f0c29cfc72e50a375bb94"	"Bacteria"	NA	NA	NA	NA	NA	NA
"819d66e3cd7aa08f05882f428c3c9be2"	"Bacteria"	NA	NA	NA	NA	NA	NA
"2147fe4dc1056e5d45b825fde79bdd48"	"Bacteria"	NA	NA	NA	NA	NA	NA
"90f2135a8b0d419f391b795673cec1cc"	"Bacteria"	NA	NA	NA	NA	NA	NA
"3493643f6da74f3828fe107d10c1300d"	"Bacteria"	NA	NA	NA	NA	NA	NA
"1c68b490c6bcfa40a33c402fe216aaa1"	"Bacteria"	NA	NA	NA	NA	NA	NA
"b8c6b8186d7f994fffbb49897d00d66b"	"Bacteria"	NA	NA	NA	NA	NA	NA
"19012c4acee4eba2b9c6ff162f538cb2"	"Bacteria"	NA	NA	NA	NA	NA	NA
"39ebe0bf080d3e41b7e367592ca39b61"	"Bacteria"	NA	NA	NA	NA	NA	NA
"79bdfa5f0576204baa98e31bc8ab1ea6"	"Bacteria"	NA	NA	NA	NA	NA	NA
"f557b153ebe839f3592a7b2c9fd3aa5a"	"Bacteria"	NA	NA	NA	NA	NA	NA
"7d095bc8d278d877f42db12a638be0e7"	"Bacteria"	NA	NA	NA	NA	NA	NA
"e158ae5a8cecef1d93054b8e6ee0789a"	"Bacteria"	NA	NA	NA	NA	NA	NA
"1335dc402ed2da83f60db16dd2e18982"	"Bacteria"	NA	NA	NA	NA	NA	NA
"9fe296de759e6363df973857416a10e8"	"Bacteria"	NA	NA	NA	NA	NA	NA
"4772bbd12dfd191fb38a10adb68bc465"	"Bacteria"	NA	NA	NA	NA	NA	NA
"001ff8c8241eb2652cae04cfbbf1aadf"	"Bacteria"	NA	NA	NA	NA	NA	NA
"0869e314485212d69bea8ae8a6e0aa9d"	"Bacteria"	NA	NA	NA	NA	NA	NA
"6a4a17610ba3437d9c47b1ccc9e256c2"	"Bacteria"	NA	NA	NA	NA	NA	NA
"61c6e00d984da58372476b4b9305c53b"	"Bacteria"	NA	NA	NA	NA	NA	NA
"902dfff6b98b07d623740ab032a90a3a"	"Bacteria"	NA	NA	NA	NA	NA	NA
"b62130ef28c9389b10ebbc3049f73e29"	"Bacteria"	NA	NA	NA	NA	NA	NA
"9f4e78f511aa38ac4df8ab27a687d231"	"Bacteria"	NA	NA	NA	NA	NA	NA
"9f5281abf06b85d961edc8050a5a8b59"	"Bacteria"	NA	NA	NA	NA	NA	NA
"4bf9cd357963023fa0822db8b5345784"	"Bacteria"	NA	NA	NA	NA	NA	NA
"33ce5f8cf8076b733669402822c2c9c8"	"Bacteria"	NA	NA	NA	NA	NA	NA
"e1584849cef30ab75c66444b4105e4b7"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ad7686e37cec73f910c86674340278e0"	"Bacteria"	NA	NA	NA	NA	NA	NA
"80721994f2cd53691812b38aa6782963"	"Bacteria"	NA	NA	NA	NA	NA	NA
"0d6f197f3a33cd1e5f2734cf74467c59"	"Bacteria"	NA	NA	NA	NA	NA	NA
"0f3cddb883329cfd58c64abbbe7b9f7d"	"Bacteria"	NA	NA	NA	NA	NA	NA
"bca2a328c15d024738595830e7e72b1a"	"Bacteria"	NA	NA	NA	NA	NA	NA
"188ad0e8ea36fe7bfdd7d70f027dba49"	"Bacteria"	NA	NA	NA	NA	NA	NA
"c50957b76e7cba6ac141c7c80cfb921a"	"Bacteria"	NA	NA	NA	NA	NA	NA
"1cf23432493f607c7b71689ece2bb31b"	"Bacteria"	NA	NA	NA	NA	NA	NA
"a1066bc7a3b29c4beb74a4d7c280250e"	"Bacteria"	NA	NA	NA	NA	NA	NA
"2593bbfc13a013abd2a6bfc3da8cadf3"	"Bacteria"	NA	NA	NA	NA	NA	NA
"3e57374225bf8600bfa463a7f63d60d3"	"Bacteria"	NA	NA	NA	NA	NA	NA
"4547c52d1bf74e91a14218a14a8143fa"	"Bacteria"	NA	NA	NA	NA	NA	NA
"9e6b51c77321838991defca668dafced"	"Bacteria"	NA	NA	NA	NA	NA	NA
"4f292e752e20e201f9c170dba89cfa2a"	"Bacteria"	NA	NA	NA	NA	NA	NA
"0290198cbe3a62b765ba4ceee1330fbf"	"Bacteria"	NA	NA	NA	NA	NA	NA
"3944c2562d12480beeed6810475ecc53"	"Bacteria"	NA	NA	NA	NA	NA	NA
"a8492f193ba9935c819ba128c52e9cf5"	"Bacteria"	NA	NA	NA	NA	NA	NA
"d525bdfcb642fc071389774c992f93de"	"Bacteria"	NA	NA	NA	NA	NA	NA
"645bde8b932795e49e81ab343982140b"	"Bacteria"	NA	NA	NA	NA	NA	NA
"e966617f2d03989aae066a3e890f818d"	"Bacteria"	NA	NA	NA	NA	NA	NA
"40dd5b5e06953997461e137d8e9d6c4f"	"Bacteria"	NA	NA	NA	NA	NA	NA
"a9e63972349a2e74e9a9bec75af0a8b0"	"Bacteria"	NA	NA	NA	NA	NA	NA
"36fd53e9866ca3712f77a66a16604224"	"Bacteria"	NA	NA	NA	NA	NA	NA
"f209dac40418c9196a1e793072f23f23"	"Bacteria"	NA	NA	NA	NA	NA	NA
"5ff227bf0db1b9741b54baf0216e644a"	"Bacteria"	NA	NA	NA	NA	NA	NA
"e7e0cf3804985e944c873e79dce64854"	"Bacteria"	NA	NA	NA	NA	NA	NA
"dd26393746599f797603963f5ec49741"	"Bacteria"	NA	NA	NA	NA	NA	NA
"554ac7eccaa91da3a8e6216c7a12147f"	"Bacteria"	NA	NA	NA	NA	NA	NA
"27bb471bd085d88b79c53597bb4b0991"	"Bacteria"	NA	NA	NA	NA	NA	NA
"cc952c02c3a3abf3be7be1b796b6fbc2"	"Bacteria"	NA	NA	NA	NA	NA	NA
"306a9b612d9d09e85795226abcf0a131"	"Bacteria"	NA	NA	NA	NA	NA	NA
"9cc98f0f95cfdba335de60543db3920e"	"Bacteria"	NA	NA	NA	NA	NA	NA
"b3a0c675e84876bfb4bb57ca9cfa2339"	"Bacteria"	NA	NA	NA	NA	NA	NA
"4c81cae2125884f3427fc9f1efa54512"	"Bacteria"	NA	NA	NA	NA	NA	NA
"24de9fe68978a4d4884ea4245c4cc78f"	"Bacteria"	NA	NA	NA	NA	NA	NA
"575c085ad007ba07eec718917494a198"	"Bacteria"	NA	NA	NA	NA	NA	NA
"7c85fbb1c804d686234fd109f6742630"	"Bacteria"	NA	NA	NA	NA	NA	NA
"a36ee44242dc782393cec4514cc0515a"	"Bacteria"	NA	NA	NA	NA	NA	NA
"aa622fca1a4127d30799bcf3188c698f"	"Bacteria"	NA	NA	NA	NA	NA	NA
"996b0c6d60194ea5f9bd2420f93af7ff"	"Bacteria"	NA	NA	NA	NA	NA	NA
"fc1b7ff2a76543e0d4448f500ec7b1f8"	"Bacteria"	NA	NA	NA	NA	NA	NA
"1be882189c87b4f4924b813b2e8eda04"	"Bacteria"	NA	NA	NA	NA	NA	NA
"f0cbd57c6f6b49b738293a6261c66719"	"Bacteria"	NA	NA	NA	NA	NA	NA
"bf8139d974e5902823721644fc69c3b0"	"Bacteria"	NA	NA	NA	NA	NA	NA
"e954cb7af7744a44dcc5a2cbdd0e465f"	"Bacteria"	NA	NA	NA	NA	NA	NA
"fd776d3c7a28e016b7e8a67a9fe6787b"	"Bacteria"	NA	NA	NA	NA	NA	NA
"5eed6f1a9cfd8592acfaa7a7ba9854f0"	"Bacteria"	NA	NA	NA	NA	NA	NA
"5d8662363bc02545a89f3ee58c93fb8f"	"Bacteria"	NA	NA	NA	NA	NA	NA
"c782c9808c20b32dbe64ce6b0f4c9bf1"	"Bacteria"	NA	NA	NA	NA	NA	NA
"9e3a156119a4184f885e36ab5cb217c4"	"Bacteria"	NA	NA	NA	NA	NA	NA
"74cc95a9446bcdc325cd5f096b007d2f"	"Bacteria"	NA	NA	NA	NA	NA	NA
"e06abfc5182640f67aaab1450c30bacf"	"Bacteria"	NA	NA	NA	NA	NA	NA
"6b0b31ed2700b1100cdb61ca4d54aa27"	"Bacteria"	NA	NA	NA	NA	NA	NA
"7e4079996529b4e199bf055f3c21793f"	"Bacteria"	NA	NA	NA	NA	NA	NA
"175ec7f6da0bcb6c67cb1bfbe936718d"	"Bacteria"	NA	NA	NA	NA	NA	NA
"9d5cc6505b1001ee677f43b26a10aea7"	"Bacteria"	NA	NA	NA	NA	NA	NA
"e52e6e8e2eaf4e46ef7f7de41e7ad75d"	"Bacteria"	NA	NA	NA	NA	NA	NA
"10509f489e6e0cd97dbdbdcf83afee75"	"Bacteria"	NA	NA	NA	NA	NA	NA
"1fec95f0ea87c13069c4728de418c404"	"Bacteria"	NA	NA	NA	NA	NA	NA
"09165d0ff4eb6bae197ac626c9eddd1a"	"Bacteria"	NA	NA	NA	NA	NA	NA
"74537f8aae97c5d1c28675f96f8cad16"	"Bacteria"	NA	NA	NA	NA	NA	NA
"b00ef69f6ff11a3f603c0d957678ee37"	"Bacteria"	NA	NA	NA	NA	NA	NA
"3756bb130eb01a2b80112d073e41d688"	"Bacteria"	NA	NA	NA	NA	NA	NA
"d3471d6f6241724f2ca28a4389997ce3"	"Bacteria"	NA	NA	NA	NA	NA	NA
"98818778b53f4fabdf5f091c7bf3b403"	"Bacteria"	NA	NA	NA	NA	NA	NA
"815fe05fe33306812dec23f6b0446357"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ef83a3d786f28c8f291b1a94b7aaaaf5"	"Bacteria"	NA	NA	NA	NA	NA	NA
"927b17029f58346ee21eb43fda7eebac"	"Bacteria"	NA	NA	NA	NA	NA	NA
"86464f1cc94ca5992f17463a01a34a91"	"Bacteria"	NA	NA	NA	NA	NA	NA
"0a0810fb61d4b8c2ac0a91b84630fb78"	"Bacteria"	NA	NA	NA	NA	NA	NA
"f149d5c0e0a752060b47979f0db4f571"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ba26371eeec759b598ff01a5e488419a"	"Bacteria"	NA	NA	NA	NA	NA	NA
"d70080806dec0a31eb23cc103ee3104d"	"Bacteria"	NA	NA	NA	NA	NA	NA
"4f66e53fdc47dc782f37ec2ace0f12d2"	"Bacteria"	NA	NA	NA	NA	NA	NA
"47412767f532340c6bbd60adc27a4172"	"Bacteria"	NA	NA	NA	NA	NA	NA
"42ad638ca36e691622f1488fa2204f41"	"Bacteria"	NA	NA	NA	NA	NA	NA
"63f8d81ff8cc75771cf20064dd137538"	"Bacteria"	NA	NA	NA	NA	NA	NA
"2d6d5b10ebe495980a05d6aafcc509f8"	"Bacteria"	NA	NA	NA	NA	NA	NA
"791ad58316f40e7fdb756acadee28941"	"Bacteria"	NA	NA	NA	NA	NA	NA
"4f6f3c662c4f14d01f3e66c6b40252ac"	"Bacteria"	NA	NA	NA	NA	NA	NA
"80a8d5ecbed6677e4397f819e7442406"	"Bacteria"	NA	NA	NA	NA	NA	NA
"e37be42c871aeb8367d3d890d7c5bf89"	"Bacteria"	NA	NA	NA	NA	NA	NA
"e3f1c53e05d9427435b5e8b5265924d6"	"Bacteria"	NA	NA	NA	NA	NA	NA
"55e654e6f427ce72e2ca10e1150319e8"	"Bacteria"	NA	NA	NA	NA	NA	NA
"3f200e5fd02faa39f34b4235d14abccf"	"Bacteria"	NA	NA	NA	NA	NA	NA
"9ca6ec168de12265a8509a9b2e42024b"	"Bacteria"	NA	NA	NA	NA	NA	NA
"357106d4ad995c13a40114b161862df7"	"Bacteria"	NA	NA	NA	NA	NA	NA
"71a108881cefe3f717b77940c028ca0c"	"Bacteria"	NA	NA	NA	NA	NA	NA
"30a86654fffd46a2d93afca94e98f774"	"Bacteria"	NA	NA	NA	NA	NA	NA
"823df843dfc14d23c9cd502ed61d1540"	"Bacteria"	NA	NA	NA	NA	NA	NA
"34f3bcd1c0a482e115b4d44cf5b0be7e"	"Bacteria"	NA	NA	NA	NA	NA	NA
"a0efb6e287cdc390e38c363ddfff41fb"	"Bacteria"	NA	NA	NA	NA	NA	NA
"7a4836945669cc9efec70ef0f0b0b519"	"Bacteria"	NA	NA	NA	NA	NA	NA
"747c4b86d742b9bda5f7e0996bc592eb"	"Bacteria"	NA	NA	NA	NA	NA	NA
"5ac983f05fdaa76b059cae44a8bd34b9"	"Bacteria"	NA	NA	NA	NA	NA	NA
"bb2eec96e1acbe1e3a1bf19688dca880"	"Bacteria"	NA	NA	NA	NA	NA	NA
"69fd175b54516d27e90722c78c20c280"	"Bacteria"	NA	NA	NA	NA	NA	NA
"57063c458d7779d41fb31a08bda2ab2b"	"Bacteria"	NA	NA	NA	NA	NA	NA
"2c26d7d43ba4c0173793dd62dfa5a5a8"	"Bacteria"	NA	NA	NA	NA	NA	NA
"e99a315d02184a7af2d3ba426933a13c"	"Bacteria"	NA	NA	NA	NA	NA	NA
"60f271a8920ae4a6e9ea35631084b9e7"	"Bacteria"	NA	NA	NA	NA	NA	NA
"7f9c43ef20e38d155ffa7ceb473a12ff"	"Bacteria"	NA	NA	NA	NA	NA	NA
"c8e7eb781237a1b54089d779aebc46a8"	"Bacteria"	NA	NA	NA	NA	NA	NA
"443a1bc34067b3a146364a14996fac1d"	"Bacteria"	NA	NA	NA	NA	NA	NA
"b583130d66e4042b3ab500529e8e7cc6"	"Bacteria"	NA	NA	NA	NA	NA	NA
"230232715d3d7f46d7e2afb057a3d68b"	"Bacteria"	NA	NA	NA	NA	NA	NA
"8dc87026f8f5fd179b3c3dda3ef780e1"	"Bacteria"	NA	NA	NA	NA	NA	NA
"a1bd00886e92e00d08d1cf58129ab1fd"	"Bacteria"	NA	NA	NA	NA	NA	NA
"55088722071de70cb725887bbfdc611f"	"Bacteria"	NA	NA	NA	NA	NA	NA
"485eb7966aa76732ab372589d417c2e5"	"Bacteria"	NA	NA	NA	NA	NA	NA
"26408b3e6a0e0224e708326ec6e1d5fe"	"Bacteria"	NA	NA	NA	NA	NA	NA
"b97c395f583ca15cfda9de479c47a8ec"	"Bacteria"	NA	NA	NA	NA	NA	NA
"6d0a1308b23ffe98ba0a901c0714671b"	"Bacteria"	NA	NA	NA	NA	NA	NA
"71d480a92f4eba53731856ecfab837f2"	"Bacteria"	NA	NA	NA	NA	NA	NA
"89e351261f5b4f8fdb7858ea42199e0c"	"Bacteria"	NA	NA	NA	NA	NA	NA
"4a3803cbd2b87694f5f66277dc5e1640"	"Bacteria"	NA	NA	NA	NA	NA	NA
"2955f08396e409c1495b71b2123225b4"	"Bacteria"	NA	NA	NA	NA	NA	NA
"28792ba2cd68b4629945a1d8158782a9"	"Bacteria"	NA	NA	NA	NA	NA	NA
"a6ab43ba73a6194d1070b72f8baa7568"	"Bacteria"	NA	NA	NA	NA	NA	NA
"a3fd31ab237dd414b0f6475cf2ea179f"	"Bacteria"	NA	NA	NA	NA	NA	NA
"21b772ae88b69eb20d96ba1ccc205b8e"	"Bacteria"	NA	NA	NA	NA	NA	NA
"588ef8252358bd5d23bdd66d4a873ba3"	"Bacteria"	NA	NA	NA	NA	NA	NA
"b6e7900cbe8dc5a7c146032776debe82"	"Bacteria"	NA	NA	NA	NA	NA	NA
"b487e14de2b7cee31cd5a447d2c81bed"	"Bacteria"	NA	NA	NA	NA	NA	NA
"38557bb6d56749288174763a415be072"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13c19b3616f27ef84615357d7f3028bb"	"Bacteria"	NA	NA	NA	NA	NA	NA
"2dc1c1a88bbf8510f717918ddb1bf782"	"Bacteria"	NA	NA	NA	NA	NA	NA
"9d9b81b71473411505c04a1b37be5c21"	"Bacteria"	NA	NA	NA	NA	NA	NA
"3bd17f9ec525548365ac143bde046fb1"	"Bacteria"	NA	NA	NA	NA	NA	NA
"fe2c8b5759354b978a4d314a504ea1a4"	"Bacteria"	NA	NA	NA	NA	NA	NA
"8ac8f0986f916182998732be3ce22871"	"Bacteria"	NA	NA	NA	NA	NA	NA
"7516dd1eb04f8af51ba4c75361b5b9e6"	"Bacteria"	NA	NA	NA	NA	NA	NA
"e3ff4825209ac7634bccff6d6b6f245d"	"Bacteria"	NA	NA	NA	NA	NA	NA
"78849a0f041a14bac404d8f811b753fa"	"Bacteria"	NA	NA	NA	NA	NA	NA
"5e49e15a39fcd986658d28bce19b843e"	"Bacteria"	NA	NA	NA	NA	NA	NA
"16ac34f4cd5f53c1741fd26a3e4ed921"	"Bacteria"	NA	NA	NA	NA	NA	NA
"eda2462066a379cbb873af8692f23977"	"Bacteria"	NA	NA	NA	NA	NA	NA
"49082b91825bd298ea850be33a53029b"	"Bacteria"	NA	NA	NA	NA	NA	NA
"7a7af10960e40c3bc5d0724b3a3da07a"	"Bacteria"	NA	NA	NA	NA	NA	NA
"b8684c3363a8be4f7944dcbcac9d67ab"	"Bacteria"	NA	NA	NA	NA	NA	NA
"c49bc22be77313524ad453f0f4442faa"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ea93cf2338190b41bd51c7560369b8e0"	"Bacteria"	NA	NA	NA	NA	NA	NA
"7689f1325ab4eb038b2b28164fa37428"	"Bacteria"	NA	NA	NA	NA	NA	NA
"67869bf851d76f6773bb9548f12a46a5"	"Bacteria"	NA	NA	NA	NA	NA	NA
"db899414cf02e0edc30269037c24ac1b"	"Bacteria"	NA	NA	NA	NA	NA	NA
"05c2fc3e3dffa8b306547db52281d242"	"Bacteria"	NA	NA	NA	NA	NA	NA
"caa4b5776893dd2bca3298a527935838"	"Bacteria"	NA	NA	NA	NA	NA	NA
"774de09536d05162fd5fd98a3ba5a7b3"	"Bacteria"	NA	NA	NA	NA	NA	NA
"a9a83bfdcf4bbaf059114bd14c6a6b00"	"Bacteria"	NA	NA	NA	NA	NA	NA
"b15dfe2c38f5f8cd35bf8cce95f571df"	"Bacteria"	NA	NA	NA	NA	NA	NA
"2a606ccf0772c2153ee05fe7d790b90b"	"Bacteria"	NA	NA	NA	NA	NA	NA
"eef14d266bf663b17d7ef1e72cfadb93"	"Bacteria"	NA	NA	NA	NA	NA	NA
"5a5077e8a26c01b96e255024a6f6549c"	"Bacteria"	NA	NA	NA	NA	NA	NA
"7705142c39718eca881f6c0d625ee6ec"	"Bacteria"	NA	NA	NA	NA	NA	NA
"b08cc53b0afcb39d74f66b3c24fe30ba"	"Bacteria"	NA	NA	NA	NA	NA	NA
"6eb4ffc7fb9c9b842da70bc75c4f0144"	"Bacteria"	NA	NA	NA	NA	NA	NA
"9efbb3eba50767340f862f5afb427783"	"Bacteria"	NA	NA	NA	NA	NA	NA
"84e7ba9c07f7951a118037c4729e25db"	"Bacteria"	NA	NA	NA	NA	NA	NA
"3de699bb69a6069c08b468a4338b287e"	"Bacteria"	NA	NA	NA	NA	NA	NA
"c554ab14aed09c3d921408d1b4cf35f1"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ff32be84311a71cea62b132f985278ef"	"Bacteria"	NA	NA	NA	NA	NA	NA
"32631ff7b1439cc5e46198e3c607c21d"	"Bacteria"	NA	NA	NA	NA	NA	NA
"30a5029b637640ca12d3e56688b77fe6"	"Bacteria"	NA	NA	NA	NA	NA	NA
"662d323d633287b993e9eef930be9d74"	"Bacteria"	NA	NA	NA	NA	NA	NA
"5fd9a2ee9c30aa789ee51647755e38a9"	"Bacteria"	NA	NA	NA	NA	NA	NA
"988fed04edd8f17e46e14127e141dadf"	"Bacteria"	NA	NA	NA	NA	NA	NA
"b84b705d077ce8e8624bf1cfd450e007"	"Bacteria"	NA	NA	NA	NA	NA	NA
"0372e877e91bb73e5ac179890fe3cca2"	"Bacteria"	NA	NA	NA	NA	NA	NA
"03d9571e5ba1b1781a37c3d26c50fe39"	"Bacteria"	NA	NA	NA	NA	NA	NA
"51354c5e81361e2e2db1739e9983f65a"	"Bacteria"	NA	NA	NA	NA	NA	NA
"779a3b75992802ce016e2d0e75237ff1"	"Bacteria"	NA	NA	NA	NA	NA	NA
"5d4dcd14865e09a31a7844201d3e6371"	"Bacteria"	NA	NA	NA	NA	NA	NA
"6f9ad5f2d18b2759218cc1e23cfe7e53"	"Bacteria"	NA	NA	NA	NA	NA	NA
"a33e37c1fbe55f502e29d09d3ebeeea7"	"Bacteria"	NA	NA	NA	NA	NA	NA
"f77723f9280d1b5951206570487a5029"	"Bacteria"	NA	NA	NA	NA	NA	NA
"380933390728f800fe144d98bb85a281"	"Bacteria"	NA	NA	NA	NA	NA	NA
"183ca871586824149033913567f29979"	"Bacteria"	NA	NA	NA	NA	NA	NA
"f6095a709203f649b8a3e0130cf10e7c"	"Bacteria"	NA	NA	NA	NA	NA	NA
"ed108a6cae07dcb7398edf248dafbe0a"	"Bacteria"	NA	NA	NA	NA	NA	NA
"62b7d6a12e07eca46033ae0926197759"	"Bacteria"	NA	NA	NA	NA	NA	NA
"758c5bcf7c13d1ddf4c0fb6c82a266eb"	"Bacteria"	NA	NA	NA	NA	NA	NA
"b429acb9894655039f0ff3449714d191"	"Bacteria"	NA	NA	NA	NA	NA	NA
"5f0c89573994bf59c9dc7c0df12d7130"	"Bacteria"	NA	NA	NA	NA	NA	NA
"3fe6aebc53b8a531478c2a7a7d1dc42b"	"Bacteria"	NA	NA	NA	NA	NA	NA
"56049edf2545b40144b60bb4ef63116a"	"Bacteria"	NA	NA	NA	NA	NA	NA
"e64378990bc1814f997936c68f29b96d"	"Bacteria"	NA	NA	NA	NA	NA	NA
